Operation,Category,Perf Weight,Timing Weight,Absolute Alpha,Perf/Timing Ratio,Weight Tier,Zero FP,Alpha Min,Alpha Max,Alpha CV,Analytical Formula,Analytical FLOPs,Benchmark Code,Benchmark Size,Repeats,Perf Instructions (total),"Timing (ns, total)",Time per Analytical FLOP (ns),Baseline Alpha,Baseline Command,Baseline Perf Instructions,Baseline Timing (ns),Implementation URL,Notes
rad2deg,Pointwise Unary,1.0230,0.9093,1.6000,1.1250,baseline,FALSE,1.2823,1.6001,0.1228,numel(output),10000000,"np.rad2deg(x, out=_out)",n=10000000,5,"[64112714, 80005622, 80005600]",72342654.0,1.4469,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L331,Alias for degrees.
degrees,Pointwise Unary,1.0230,0.9112,1.6000,1.1227,baseline,FALSE,1.2823,1.6001,0.1228,numel(output),10000000,"np.degrees(x, out=_out)",n=10000000,5,"[64112714, 80005622, 80005600]",72489619.0,1.4498,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L312,Convert radians to degrees element-wise.
radians,Pointwise Unary,1.0230,0.9099,1.6000,1.1243,baseline,FALSE,1.2823,1.6001,0.1228,numel(output),10000000,"np.radians(x, out=_out)",n=10000000,5,"[64112714, 80005622, 80005600]",72388667.0,1.4478,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L332,Convert degrees to radians element-wise.
frexp,Pointwise Unary,1.0230,1.5273,1.6000,0.6698,baseline,FALSE,1.2823,1.6001,0.1228,numel(output),10000000,np.frexp(x),n=10000000,5,"[64112714, 80005622, 80005600]",121505491.0,2.4301,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L373,Decompose x into mantissa and exponent element-wise.
spacing,Pointwise Unary,1.0230,1.8831,1.6000,0.5433,baseline,FALSE,1.2823,1.6001,0.1228,numel(output),10000000,"np.spacing(x, out=_out)",n=10000000,5,"[64112714, 80005622, 80005600]",149814537.0,2.9963,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L367,Return ULP spacing for each element.
modf,Pointwise Unary,1.0167,2.6118,1.5902,0.3893,baseline,FALSE,0.5993,1.5991,0.4551,numel(output),10000000,np.modf(x),n=10000000,5,"[29964429, 79509727, 79955400]",207787531.0,4.1558,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L372,Return fractional and integral parts element-wise.
abs,Pointwise Unary,0.3837,0.6712,0.6001,0.5717,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.abs(x, out=_out)",n=10000000,5,"[14112714, 30005622, 30005600]",53401389.0,1.0680,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L249,Element-wise absolute value; alias for absolute.
negative,Pointwise Unary,0.3837,0.6825,0.6001,0.5622,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.negative(x, out=_out)",n=10000000,5,"[14112714, 30005622, 30005600]",54297875.0,1.0860,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L250,Element-wise negation.
positive,Pointwise Unary,0.3837,0.6679,0.6001,0.5745,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.positive(x, out=_out)",n=10000000,5,"[14112714, 30005622, 30005600]",53132721.0,1.0627,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L330,Element-wise unary plus (copy with sign preserved).
ceil,Pointwise Unary,0.3837,0.6705,0.6001,0.5723,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.ceil(x, out=_out)",n=10000000,5,"[14112714, 30005622, 30005600]",53342682.0,1.0669,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L257,Element-wise ceiling.
floor,Pointwise Unary,0.3837,0.6639,0.6001,0.5779,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.floor(x, out=_out)",n=10000000,5,"[14112714, 30005622, 30005600]",52813902.0,1.0563,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L258,Element-wise floor.
