Operation,Status,Category,Cost Formula,Weight,Reviewer Weight,Effective Cost Example,Confidence,Notes,Exclusion Reason,Hardware FP Instructions (per analytical FLOP),Timing Weight,Perf/Timing Agreement,Measurement Spread (CV),Benchmark Command,Benchmark Size,Total Perf Instructions,Total Timing (ns),Implementation,Weight Tier,Repeats
linalg.pinv,benchmarked,Linalg,"m*n*min(m,n)",5.1094,,"5,109 FLOPs (C=1000)",high,"Pseudoinverse. Cost: m*n*min(m,n) (via SVD).",,11.24,0.1782,28.6723,0.0458,np.linalg.pinv(A),"A: (1024,1024)","[60351562950, 60823627962, 55927335446]",1452486270.46,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/_solvers.py#L187,moderate,5
linalg.svd,benchmarked,Linalg,"m*n*min(m,n)",4.1973,,"4,197 FLOPs (C=1000)",medium,"Singular value decomposition; cost ~ O(min(m,n)*m*n).",,9.23,0.1738,24.1502,0.0560,np.linalg.svd(A),"A: (1024,1024)","[49577434245, 50049499257, 45153206741]",1416499040.14,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/_svd.py#L67,moderate,5
linalg.eigh,benchmarked,Linalg,4*n^3 / 3,1.6482,,"18,002 FLOPs (n=32, C=10922)",high,Symmetric eigendecomposition. Cost: $(4/3)n^3$ (Golub & Van Loan §8.3).,,3.63,0.0559,29.4848,0.0034,np.linalg.eigh(A),"A: (1024,1024)","[26005793792, 25835547902, 25958187457]",607373729.17,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/_decompositions.py#L165,baseline,5
linalg.lstsq,benchmarked,Linalg,"m*n*min(m,n)",1.4063,,"1,406 FLOPs (C=1000)",medium,"Least squares. Cost: m*n*min(m,n) (LAPACK gelsd/SVD).",,3.09,0.1186,11.8575,0.0605,"np.linalg.lstsq(A, b, rcond=None)","A: (1024,1024), b: (1024,)","[16592478241, 16610822013, 18405619962]",967173873.53,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/_solvers.py#L147,baseline,5
linalg.cond,benchmarked,Linalg,"m*n*min(m,n)",1.4043,,"1,404 FLOPs (C=1000)",high,,,3.09,0.0000,N/A,0.0023,np.linalg.cond(A),"A: (512,512)","[2072803396, 2073424544, 2081315849]",,,baseline,5
linalg.matrix_rank,benchmarked,Linalg,"m*n*min(m,n)",1.4043,,"1,404 FLOPs (C=1000)",high,,,3.09,0.0000,N/A,0.0023,np.linalg.matrix_rank(A),"A: (512,512)","[2072806002, 2073427150, 2081318455]",,,baseline,5
linalg.tensorinv,benchmarked,Linalg,n^3 after reshape,1.3998,,"45,869 FLOPs (n=32, C=32768)",high,,,3.08,0.0000,N/A,0.0009,"np.linalg.tensorinv(A, ind=2)","A: (8,8,8,8)","[4036571, 4043075, 4036571]",,,baseline,5
linalg.vecdot,benchmarked,Linalg,batch*K,1.3777,,"1,378 FLOPs (1000-element vector, C=1000)",medium,,,3.03,0.0000,N/A,0.1080,"np.linalg.vecdot(A, B)","A: (1000,512), B: (1000,512)","[6735691, 8362647, 7759713]",,,baseline,5
linalg.svdvals,benchmarked,Linalg,"m*n*min(m,n)",1.3389,,"1,339 FLOPs (C=1000)",medium,"Singular values only. Cost: m*n*min(m,n) (Golub-Reinsch).",,2.95,0.1018,13.1523,0.0731,np.linalg.svdvals(A),"A: (1024,1024)","[15783177920, 15814995302, 17888344696]",830225548.13,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/_decompositions.py#L281,baseline,5
linalg.inv,benchmarked,Linalg,n^3,1.2404,,"40,645 FLOPs (n=32, C=32768)",medium,Matrix inverse. Cost: $n^3$ (LU + solve).,,2.73,0.0306,40.5359,0.0809,np.linalg.inv(A),"A: (1024,1024)","[14649280230, 14651377382, 16804180716]",249551284.74,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/_solvers.py#L101,baseline,5
linalg.norm,benchmarked,Linalg,numel (L2),1.1283,,"1,128 FLOPs (1000 elements)",medium,,,2.48,0.0000,N/A,0.0655,np.linalg.norm(x),"x: (10000000,)","[114123289, 130016207, 124123289]",,,baseline,5
linalg.vector_norm,benchmarked,Linalg,numel (L2),1.1282,,"1,128 FLOPs (1000 elements)",medium,,,2.48,0.0000,N/A,0.0655,np.linalg.vector_norm(x),"x: (10000000,)","[114112724, 130005642, 124112724]",,,baseline,5
linalg.qr,benchmarked,Linalg,2*m*n^2 - 2*n^3/3,0.9478,,"31,058 FLOPs (n=32, C=32768)",medium,QR decomposition. Cost: $2mn^2 - (2/3)n^3$ (Golub & Van Loan §5.2).,,2.09,0.0381,24.8766,0.0795,np.linalg.qr(A),"A: (1024,1024)","[14924951925, 14927049077, 17079852411]",413660538.26,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/_decompositions.py#L87,baseline,5
linalg.matrix_power,benchmarked,Linalg,(ceil(log2(k))+popcount(k)-1)*n^3,0.9184,,"9,184 FLOPs (1000 elements, C=10000)",high,,,2.02,0.0000,N/A,0.0005,"np.linalg.matrix_power(A, 5)","A: (64,64), n=5","[7945398, 7951902, 7945398]",,,baseline,5
linalg.cross,benchmarked,Linalg,6*n,0.9011,,901 FLOPs (C=1000),medium,,,1.98,0.0000,N/A,0.0822,"np.linalg.cross(a, b)","a: (1000000,3), b: (1000000,3)","[53474053, 63005601, 59474075]",,,baseline,5
linalg.cholesky,benchmarked,Linalg,n^3 / 3,0.7606,,"8,307 FLOPs (n=32, C=10922)",high,Cholesky decomposition. Cost: $n^3/3$ (Golub & Van Loan §4.2).,,1.67,0.0269,28.2751,0.0003,np.linalg.cholesky(A),"A: (1024,1024)","[2994621377, 2996287162, 2994621377]",72958634.09,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/_decompositions.py#L46,baseline,5
linalg.trace,benchmarked,Linalg,"min(m,n)",0.7273,,"727 FLOPs (n=1000, C=1000)",low,Matrix trace. Cost: n (sum of diagonal elements). Weight set to match trace/sum (subprocess overhead dominates at small analytical cost).,,4819.90,0.0000,N/A,0.3537,np.linalg.trace(A),"A: (10000,10000)","[140994833, 300055632, 240994833]",,,baseline,5
linalg.eig,benchmarked,Linalg,10*n^3,0.6827,,"22,371 FLOPs (n=32, C=32768)",medium,"Eigendecomposition. Cost: $10n^3$ (Francis QR, Golub & Van Loan §7.5).",,1.50,0.0496,13.7641,0.1093,np.linalg.eig(A),"A: (1024,1024)","[83737063935, 80643259067, 67791238906]",4043802365.21,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/_decompositions.py#L127,baseline,5
linalg.eigvalsh,benchmarked,Linalg,4*n^3 / 3,0.5738,,"6,267 FLOPs (n=32, C=10922)",high,Symmetric eigenvalues. Cost: $(4/3)n^3$ (same as eigh).,,1.26,0.0299,19.1906,0.0002,np.linalg.eigvalsh(A),"A: (1024,1024)","[9036696552, 9036948347, 9034216912]",324763559.74,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/_decompositions.py#L243,baseline,5
linalg.matrix_norm,benchmarked,Linalg,2*numel (Frobenius),0.5651,,565 FLOPs (1000 elements),medium,,,1.24,0.0000,N/A,0.0653,np.linalg.matrix_norm(A),"A: (512,512)","[2997301, 3413514, 3259445]",,,baseline,5
linalg.det,benchmarked,Linalg,2*n^3 / 3,0.4921,,"5,375 FLOPs (n=32, C=10922)",low,Determinant. Cost: $n^3$ (LU factorization).,,1.08,0.0390,12.6179,0.2708,np.linalg.det(A),"A: (1024,1024)","[3873313637, 3875410789, 6028214516]",212047369.19,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/_properties.py#L87,negligible,5
linalg.slogdet,benchmarked,Linalg,2*n^3 / 3,0.4921,,"5,375 FLOPs (n=32, C=10922)",low,Sign + log determinant. Cost: $n^3$ (LU factorization).,,1.08,0.0387,12.7158,0.2708,np.linalg.slogdet(A),"A: (1024,1024)","[3873313510, 3875410662, 6028214506]",210068362.08,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/_properties.py#L134,negligible,5
linalg.tensorsolve,benchmarked,Linalg,n^3 after reshape,0.4834,,"15,840 FLOPs (n=32, C=32768)",high,,,1.06,0.0000,N/A,0.0027,"np.linalg.tensorsolve(A, b)","A: (8,8,8,8), b: (8,8)","[1394101, 1400722, 1394101]",,,negligible,5
linalg.eigvals,benchmarked,Linalg,7*n^3,0.4635,,"15,188 FLOPs (n=32, C=32768)",high,Eigenvalues only. Cost: $10n^3$ (same as eig).,,1.02,0.0526,8.8118,0.0320,np.linalg.eigvals(A),"A: (1024,1024)","[39840860890, 38321622007, 37399514796]",3001969774.17,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/_decompositions.py#L207,negligible,5
linalg.tensordot,benchmarked,Linalg,2*d^5,0.4617,,462 FLOPs (C=1000),high,,,1.02,0.0000,N/A,0.0000,"np.linalg.tensordot(A, B, axes=1)","A: (64,64,64), B: (64,64,64)","[10905935881, 10906768966, 10906460191]",,,negligible,5
linalg.solve,benchmarked,Linalg,2*n^3/3 + 2*n^2,0.4589,,"15,037 FLOPs (n=32, C=32768)",low,Solve Ax=b. Cost: $2n^3/3$ (LU) + $n^2 \cdot n_{\text{rhs}}$ (back-substitution).,,1.01,0.0208,22.0625,0.2865,"np.linalg.solve(A, b)","A: (1024,1024), b: (1024,)","[3621815480, 3623912632, 5776715966]",113269913.65,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/_solvers.py#L54,negligible,5
linalg.matmul,benchmarked,Linalg,2*M*N*K,0.4567,,"29,930 FLOPs (32x32 matmul, C=65536)",high,,,1.00,0.0000,N/A,0.0003,"np.linalg.matmul(A, B)","A: (512,512), B: (512,512)","[1348165611, 1348998696, 1348689921]",,,negligible,5
linalg.outer,benchmarked,Linalg,M*N,0.4546,,455 FLOPs (C=1000),high,,,1.00,0.0000,N/A,0.0001,"np.linalg.outer(a, b)","a: (5000,), b: (5000,)","[125020031, 125035647, 125030053]",,,negligible,5
linalg.multi_dot,benchmarked,Linalg,2*(128*64*128 + 128*128*64),0.2298,,230 FLOPs (C=1000),high,,,0.51,0.0000,N/A,0.0018,"np.linalg.multi_dot([A, B, C])","A: (128,64), B: (64,128), C: (128,64)","[10588018, 10626610, 10604424]",,,negligible,5
vecdot,benchmarked,Contractions,batch * K (output_size * contracted_axis),1.4848,,"1,485 FLOPs (1000-element vector, C=1000)",medium,Vector dot product along last axis.,,3.27,0.1763,8.4220,0.1201,"np.vecdot(A, B)","A: (1000,512), B: (1000,512)","[6735691, 8362633, 8362601]",685085.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L455,baseline,5
inner,benchmarked,Contractions,N (a.size),1.4559,,"1,456 FLOPs (1000-element vector, C=1000)",medium,"Inner product; cost = 2*N for 1-D, 2*N*M for n-D.",,3.20,0.0061,238.6721,0.1227,"np.inner(a, b)","a: (1000000,), b: (1000000,)","[12836489, 16016198, 16016166]",46294.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L649,baseline,5
vdot,benchmarked,Contractions,N (a.size),1.4559,,"1,456 FLOPs (1000-element vector, C=1000)",medium,Dot product with conjugation; cost = 2*N.,,3.20,0.0063,231.0952,0.1227,"np.vdot(a, b)","a: (1000000,), b: (1000000,)","[12836489, 16016198, 16016166]",47586.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L707,baseline,5
tensordot,benchmarked,Contractions,"2*d^5 (axes=1, shape=(d,d,d))",0.4617,,462 FLOPs (C=1000),high,Tensor dot product along specified axes.,,1.02,0.0090,51.3000,0.0000,"np.tensordot(A, B, axes=1)","A: (64,64,64), B: (64,64,64), axes=1","[10905935881, 10906768952, 10906768920]",146422090.17,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/__init__.py#L74,negligible,5
dot,benchmarked,Contractions,2*M*N*K,0.4568,,"29,937 FLOPs (32x32 matmul, C=65536)",high,Dot product; cost = 2*M*N*K for matrix multiply.,,1.01,0.0012,380.6667,0.0004,"np.dot(A, B)","A: (512,512), B: (512,512)","[1348165611, 1348998682, 1348998650]",2453551.07,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L587,negligible,5
matmul,benchmarked,Contractions,2*M*N*K,0.4568,,"29,937 FLOPs (32x32 matmul, C=65536)",high,Matrix multiplication; cost = 2*M*N*K.,,1.01,0.0010,456.8000,0.0004,"np.matmul(A, B)","A: (512,512), B: (512,512)","[1348165611, 1348998682, 1348998650]",1942339.9,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L623,negligible,5
einsum,benchmarked,Contractions,"2*M*N*K (ij,jk->ik)",0.4551,,"29,825 FLOPs (32x32 matmul, C=65536)",high,Generalized Einstein summation.,,1.00,0.0894,5.0906,0.0004,"np.einsum('ij,jk->ik', A, B)","A: (512,512), B: (512,512), subscripts='ij,jk->ik'","[1342922706, 1343755777, 1343755745]",182242235.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_einsum.py#L135,negligible,5
outer,benchmarked,Contractions,M*N,0.4547,,455 FLOPs (C=1000),high,Outer product of two vectors; cost = M*N.,,1.00,1.3235,0.3436,0.0001,"np.outer(a, b)","a: (5000,), b: (5000,)","[125020031, 125035633, 125035601]",251191222.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L665,negligible,5
kron,benchmarked,Contractions,"d^4 (Kronecker, shape=(d,d)x(d,d))",0.4547,,455 FLOPs (C=1000),high,Kronecker product; cost proportional to output size.,,1.00,1.3127,0.3464,0.0001,"np.kron(A, B)","A: (64,64), B: (64,64)","[83903620, 83916289, 83916257]",167197279.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L723,negligible,5
polyder,benchmarked,Polynomial,degree + 1,6.1851,,"12,370 FLOPs (n=100 deg=10, C=2000)",high,Differentiate polynomial. Cost: n FLOPs.,,13.61,34.8179,0.1776,0.0108,np.polyder(c),"c: (101,)","[6747, 6877, 6872]",26697.33,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_polynomial.py#L127,moderate,5
polyadd,benchmarked,Polynomial,degree + 1,5.8305,,"11,661 FLOPs (n=100 deg=10, C=2000)",high,"Add two polynomials. Cost: max(n1, n2) FLOPs.",,12.83,15.4492,0.3774,0.0081,"np.polyadd(c, d)","c: (101,), d: (101,)","[6400, 6478, 6499]",11846.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_polynomial.py#L96,moderate,5
polysub,benchmarked,Polynomial,degree + 1,5.8305,,"11,661 FLOPs (n=100 deg=10, C=2000)",high,"Difference (subtraction) of two polynomials. Cost: max(n1, n2) FLOPs.",,12.83,15.3149,0.3807,0.0081,"np.polysub(c, d)","c: (101,), d: (101,)","[6400, 6478, 6499]",11743.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_polynomial.py#L113,moderate,5
polyint,benchmarked,Polynomial,degree + 1,5.7441,,"11,488 FLOPs (n=100 deg=10, C=2000)",high,Integrate polynomial. Cost: n FLOPs.,,12.64,44.6021,0.1288,0.0116,np.polyint(c),"c: (101,)","[6257, 6387, 6382]",34199.61,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_polynomial.py#L140,moderate,5
polymul,benchmarked,Polynomial,(degree+1)^2,1.1921,,"2,384 FLOPs (n=100 deg=10, C=2000)",high,Multiply polynomials. Cost: n1 * n2 FLOPs.,,2.62,1.0518,1.1334,0.0004,"np.polymul(c, d)","c: (101,), d: (101,)","[133695, 133773, 133794]",81456.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_polynomial.py#L158,baseline,5
poly,benchmarked,Polynomial,degree^2,0.9813,,"1,963 FLOPs (n=100 deg=10, C=2000)",high,Polynomial from roots. Cost: $n^2$ FLOPs.,,2.16,13.7195,0.0715,0.0005,np.poly(r),"r: (100,)","[107869, 107947, 107968]",1041554.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_polynomial.py#L204,baseline,5
polyfit,benchmarked,Polynomial,2 * n * (degree+1)^2,0.5387,,"1,077 FLOPs (n=100 deg=10, C=2000)",high,Least squares polynomial fit. Cost: 2 * m * (deg+1)^2 FLOPs.,,1.19,0.1072,5.0252,0.0000,"np.polyfit(x, y, 100)","x: (1000000,), y: (1000000,), degree=100","[120900890185, 120900895308, 120900887599]",16598137888.9,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_polynomial.py#L187,baseline,5
roots,benchmarked,Polynomial,10 * degree^3,0.4898,,"980 FLOPs (n=100 deg=10, C=2000)",high,Return roots of polynomial with given coefficients. Cost: $10n^3$ FLOPs (companion matrix eig).,,1.08,0.2625,1.8659,0.0287,np.roots(c),"c: (101,)","[53876357, 54728902, 51754797]",19929764.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_polynomial.py#L217,negligible,5
polyval,benchmarked,Polynomial,2 * n * degree,0.4597,,"919 FLOPs (n=100 deg=10, C=2000)",high,Evaluate polynomial at given points. Cost: 2 * m * deg FLOPs (Horner's method).,,1.01,0.3502,1.3127,0.0000,"np.polyval(c, x)","c: (101,), x: (1000000,)","[1011416473, 1011421596, 1011413899]",531693556.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_polynomial.py#L78,negligible,5
polydiv,benchmarked,Polynomial,(degree+1)^2,0.0720,,"144 FLOPs (n=100 deg=10, C=2000)",high,Divide one polynomial by another. Cost: n1 * n2 FLOPs.,,0.16,2.4974,0.0288,0.0065,"np.polydiv(c, d)","c: (101,), d: (101,)","[8005, 8083, 8104]",193410.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_polynomial.py#L174,negligible,5
random.hypergeometric,benchmarked,Random,numel(output),261.1704,,"261,170 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,574.60,162.8785,1.6035,0.0000,"np.random.hypergeometric(100, 50, 20, 10000000)","output: (10000000,)","[28728167999, 28730212282, 28730510660]",12365391217.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L123,extreme,5
random.multivariate_normal,benchmarked,Random,numel(output),205.9307,,"205,931 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,453.07,152.7222,1.3484,0.0000,"np.random.multivariate_normal(_mean, _cov, 10000000)","mean: (10,), cov: (10,10), size=10000000","[22653520673, 22653940037, 22653531581]",11594351607.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L151,extreme,5
random.zipf,benchmarked,Random,numel(output),104.9946,,"104,995 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,231.00,74.3101,1.4129,0.0000,"np.random.zipf(2.0, 10000000)","output: (10000000,)","[11549704270, 11550397463, 11549989220]",5641463573.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L133,extreme,5
random.noncentral_chisquare,benchmarked,Random,numel(output),68.2430,,"68,243 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,150.14,52.8531,1.2912,0.0000,"np.random.noncentral_chisquare(2, 1.0, 10000000)","output: (10000000,)","[7507086686, 7507243733, 7507109427]",4012492862.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L143,heavy,5
random.negative_binomial,benchmarked,Random,numel(output),64.4532,,"64,453 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,141.80,82.5259,0.7810,0.0001,"np.random.negative_binomial(10, 0.5, 10000000)","output: (10000000,)","[7090421823, 7089463537, 7090216493]",6265189475.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L124,heavy,5
random.multinomial,benchmarked,Random,numel(output),62.2689,,"62,269 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,137.00,74.3449,0.8376,0.0000,"np.random.multinomial(10, [0.2, 0.3, 0.5], 10000000)","n_trials=10, pvals: (3,), size=10000000","[6849895780, 6849923939, 6849953413]",5644110483.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L149,heavy,5
random.noncentral_f,benchmarked,Random,numel(output),54.9487,,"54,949 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,120.89,62.9343,0.8731,0.0001,"np.random.noncentral_f(5, 10, 1.0, 10000000)","output: (10000000,)","[6044661873, 6045085500, 6044395872]",4777842106.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L145,heavy,5
random.dirichlet,benchmarked,Random,numel(output),54.9252,,"54,925 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,120.84,65.3740,0.8402,0.0000,"np.random.dirichlet([1.0, 2.0, 3.0], 10000000)","alpha: (3,), size=10000000","[6042074628, 6042384964, 6041985649]",4963057704.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L153,heavy,5
random.power,benchmarked,Random,numel(output),50.0261,,"50,026 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,110.06,32.5932,1.5349,0.0000,"np.random.power(5.0, 10000000)","output: (10000000,)","[5503152403, 5503197878, 5503129844]",2474409482.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L126,heavy,5
random.vonmises,benchmarked,Random,numel(output),47.4702,,"47,470 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,104.44,55.3953,0.8569,0.0000,"np.random.vonmises(0.0, 1.0, 10000000)","output: (10000000,)","[5221929713, 5222273571, 5221982547]",4205494897.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L138,heavy,5
random.f,benchmarked,Random,numel(output),42.4600,,"42,460 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,93.42,50.6833,0.8378,0.0000,"np.random.f(5, 10, 10000000)","output: (10000000,)","[4670856280, 4670836268, 4670726935]",3847769984.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L146,heavy,5
random.weibull,benchmarked,Random,numel(output),40.4811,,"40,481 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,89.06,25.4719,1.5892,0.0000,"np.random.weibull(2.0, 10000000)","output: (10000000,)","[4453152403, 4453197878, 4453129844]",1933772835.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L132,heavy,5
random.beta,benchmarked,Random,numel(output),40.2657,,"40,266 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,88.59,51.2341,0.7859,0.0000,"np.random.beta(2.0, 5.0, 10000000)","output: (10000000,)","[4429481342, 4429455931, 4429244623]",3889587854.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L147,heavy,5
random.standard_t,benchmarked,Random,numel(output),32.3332,,"32,333 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,71.14,38.9088,0.8310,0.0000,"np.random.standard_t(3, 10000000)","output: (10000000,)","[3556911442, 3556755305, 3556838279]",2953877147.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L130,heavy,5
random.gumbel,benchmarked,Random,numel(output),23.5710,,"23,571 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,51.86,16.7057,1.4110,0.0000,"np.random.gumbel(0.0, 1.0, 10000000)","output: (10000000,)","[2592939021, 2592956871, 2592879147]",1268265123.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L134,heavy,5
random.pareto,benchmarked,Random,numel(output),22.3002,,"22,300 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,49.06,15.7658,1.4145,0.0000,"np.random.pareto(3.0, 10000000)","output: (10000000,)","[2453152403, 2453197878, 2453129844]",1196906842.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L127,heavy,5
random.standard_cauchy,benchmarked,Random,numel(output),20.7325,,"20,732 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,45.61,26.9816,0.7684,0.0001,np.random.standard_cauchy(10000000),"output: (10000000,)","[2280668133, 2280891086, 2280689187]",2048387382.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L129,heavy,5
random.gamma,benchmarked,Random,numel(output),20.2396,,"20,240 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,44.53,25.8085,0.7842,0.0000,"np.random.gamma(2.0, 1.0, 10000000)","output: (10000000,)","[2226429576, 2226474688, 2226509004]",1959329185.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L148,heavy,5
random.lognormal,benchmarked,Random,numel(output),20.1386,,"20,139 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,44.31,22.5446,0.8933,0.0000,"np.random.lognormal(0.0, 1.0, 10000000)","output: (10000000,)","[2215356846, 2215388740, 2215346023]",1711539503.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L137,heavy,5
random.poisson,benchmarked,Random,numel(output),19.9988,,"19,999 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,44.00,39.7865,0.5027,0.0000,"np.random.poisson(5.0, 10000000)","output: (10000000,)","[2200085081, 2199889565, 2199980697]",3020507584.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L120,moderate,5
random.logseries,benchmarked,Random,numel(output),19.7821,,"19,782 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,43.52,23.7307,0.8336,0.0001,"np.random.logseries(0.5, 10000000)","output: (10000000,)","[2176141359, 2176464815, 2176075933]",1801584942.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L125,moderate,5
random.wald,benchmarked,Random,numel(output),18.1675,,"18,168 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,39.97,30.5574,0.5945,0.0001,"np.random.wald(1.0, 1.0, 10000000)","output: (10000000,)","[1998527906, 1998687295, 1998472907]",2319851965.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L139,moderate,5
random.rayleigh,benchmarked,Random,numel(output),17.3041,,"17,304 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,38.07,16.7459,1.0333,0.0000,"np.random.rayleigh(1.0, 10000000)","output: (10000000,)","[1903581048, 1903531376, 1903544506]",1271311154.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L128,moderate,5
random.laplace,benchmarked,Random,numel(output),13.4367,,"13,437 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,29.56,14.6075,0.9198,0.0000,"np.random.laplace(0.0, 1.0, 10000000)","output: (10000000,)","[1478154971, 1478088131, 1478115207]",1108973691.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L135,moderate,5
random.logistic,benchmarked,Random,numel(output),13.4267,,"13,427 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,29.54,10.5296,1.2751,0.0000,"np.random.logistic(0.0, 1.0, 10000000)","output: (10000000,)","[1477070872, 1476973445, 1477015962]",799383498.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L136,moderate,5
random.chisquare,benchmarked,Random,numel(output),13.2098,,"13,210 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,29.06,10.2064,1.2943,0.0000,"np.random.chisquare(2, 10000000)","output: (10000000,)","[1453152393, 1453197868, 1453129834]",774849123.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L141,moderate,5
random.binomial,benchmarked,Random,numel(output),13.1809,,"13,181 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,29.00,26.4741,0.4979,0.0000,"np.random.binomial(10, 0.5, 10000000)","output: (10000000,)","[1449970731, 1449920661, 1449987476]",2009860926.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L121,moderate,5
