Operation,Status,Category,Cost Formula,Weight,Reviewer Weight,Effective Cost Example,Confidence,Notes,Exclusion Reason,Hardware FP Instructions (per analytical FLOP),Timing Weight,Perf/Timing Agreement,Measurement Spread (CV),Benchmark Command,Benchmark Size,Total Perf Instructions,Total Timing (ns),Implementation,Weight Tier,Repeats
degrees,benchmarked,Pointwise Unary,numel(output),0.7273,,727 FLOPs (1000 elements),medium,Convert radians to degrees element-wise.,,1.60,0.9512,0.7646,0.1228,"np.degrees(x, out=_out)","x: (10000000,)","[64112714, 80005622, 80005600]",72209421.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L312,baseline,5
radians,benchmarked,Pointwise Unary,numel(output),0.7273,,727 FLOPs (1000 elements),medium,Convert degrees to radians element-wise.,,1.60,0.9503,0.7653,0.1228,"np.radians(x, out=_out)","x: (10000000,)","[64112714, 80005622, 80005600]",72147505.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L332,baseline,5
frexp,benchmarked,Pointwise Unary,numel(output),0.7273,,727 FLOPs (1000 elements),medium,Decompose x into mantissa and exponent element-wise.,,1.60,1.5564,0.4673,0.1228,np.frexp(x),"x: (10000000,)","[64112714, 80005622, 80005600]",118159570.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L373,baseline,5
spacing,benchmarked,Pointwise Unary,numel(output),0.7273,,727 FLOPs (1000 elements),medium,Return ULP spacing for each element.,,1.60,1.9573,0.3716,0.1228,"np.spacing(x, out=_out)","x: (10000000,)","[64112714, 80005622, 80005600]",148591657.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L367,baseline,5
modf,benchmarked,Pointwise Unary,numel(output),0.7228,,723 FLOPs (1000 elements),low,Return fractional and integral parts element-wise.,,1.59,2.6912,0.2686,0.4551,np.modf(x),"x: (10000000,)","[29964429, 79509727, 79955400]",204306725.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L372,baseline,5
abs,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,Element-wise absolute value; alias for absolute.,,0.60,0.6983,0.3907,0.3714,"np.abs(x, out=_out)","x: (10000000,)","[14112714, 30005622, 30005600]",53016840.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L249,negligible,5
negative,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,Element-wise negation.,,0.60,0.7027,0.3882,0.3714,"np.negative(x, out=_out)","x: (10000000,)","[14112714, 30005622, 30005600]",53345045.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L250,negligible,5
positive,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,Element-wise unary plus (copy with sign preserved).,,0.60,0.7023,0.3884,0.3714,"np.positive(x, out=_out)","x: (10000000,)","[14112714, 30005622, 30005600]",53315845.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L330,negligible,5
ceil,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,Element-wise ceiling.,,0.60,0.7144,0.3819,0.3714,"np.ceil(x, out=_out)","x: (10000000,)","[14112714, 30005622, 30005600]",54236944.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L257,negligible,5
floor,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,Element-wise floor.,,0.60,0.6999,0.3898,0.3714,"np.floor(x, out=_out)","x: (10000000,)","[14112714, 30005622, 30005600]",53138260.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L258,negligible,5
trunc,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,Truncate toward zero element-wise.,,0.60,0.7138,0.3822,0.3714,"np.trunc(x, out=_out)","x: (10000000,)","[14112714, 30005622, 30005600]",54193450.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L369,negligible,5
rint,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,Round to nearest integer element-wise.,,0.60,0.7148,0.3816,0.3714,"np.rint(x, out=_out)","x: (10000000,)","[14112714, 30005622, 30005600]",54268098.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L336,negligible,5
